Youtuber,Country,highest_monthly_earnings
Goldmines Dishoom,nan,516800
Sandeep Maheshwari,Singapore,0
Bounce Patrol - Kids Songs,Australia,509800
toycantando,Colombia,695300
MrBeast 2,United States,0
Wiz Khalifa,United States,361800
JYP Entertainment,South Korea,1200000
ýýý Kids Roma Show,United States,703400
DanTDM,United Kingdom,314700
Nick Jr.,United States,170200
Crazy XYZ,India,408900
ToyPuddingTV,nan,0.06
Dushyant kukreja,India,1700000
Gulshan Kalra,nan,2000000
Brent Rivera,United States,577800
Renato Garcia YT,Brazil,331600
Beast Reacts,United States,1100000
enchufetv,Colombia,97500
Netflix,United States,472900
Raffy Tulfo in Action,Philippines,652500
WORLDSTARHIPHOP,United States,356400
Goldmines Bollywood,India,398700
Alan Chikin Chow,United States,4200000
PANDA BOI,Italy,4900000
BB Ki Vines,India,69100
D Billions,United States,1900000
Junya.ï¿½ï¿½ï¿½ï¿½,Japan,2900000
Smosh,United States,272600
1MILLION Dance Studio,Saudi Arabia,0
NichLmao,nan,2400000
Beyoncï¿,United States,221800
Marï¿½ï¿½ï¿½ï¿½ï¿½,nan,0.01
Indosiar,Indonesia,920700
VanossGaming,Canada,219800
David Guetta,United States,656900
LosPolinesios,Mexico,122000
Nicki Minaj,United States,414500
Fede Vigevani,nan,0
TaylorSwiftVEVO,United States,1300000
ZHC,nan,0.08
Post Malone,United States,782000
Rans Entertainment,Indonesia,233900
LankyBox,United States,3300000
Coldplay,United Kingdom,795500
Las Ratitas,nan,0.04
WB Kids,United States,561300
ABPLIVE,nan,0.01
Chris Brown,nan,0
The Lallantop,India,1100000
RihannaVEVO,United States,377000
WatchMojo.com,Canada,196000
TRANS7 OFFICIAL,Indonesia,492800
Anuel AA,Colombia,1100000
Dan Rhodes,United Kingdom,1300000
Yuya,Mexico,1300
America's Got Talent,United States,537600
mujjuu___14,nan,1600000
EminemVEVO,United States,557800
Chloe Ting,Australia,93100
KatyPerryVEVO,United States,355800
Mark Rober,United States,354500
1theK (ï¿½ï¿½ï¿½ï¿½ï,South Korea,422300
Like Nastya AE,United States,679500
Amit Bhadana,nan,0.02
Pen Movies,India,379400
MrBeast en Espaï¿½ï,Mexico,134400
shfa show India,United Arab Emirates,604800
Super JoJo - Nursery Rhymes & Kids Songs,United States,1300000
Alejo Igoa,Argentina,1600000
Daniel LaBelle,nan,1600000
netd mï¿½ï¿,Turkey,1700000
DJ Snake,United States,253200
Diana and Roma ARA,United States,267500
KSI,United Kingdom,21800
Spider Slack,Brazil,3000000
Goldmines Movies,nan,0.01
Preston,United States,606800
James Charles,United States,232500
Collins Key,United States,43400
Diana and Roma EN,United States,711100
Venus Entertainment,nan,127
Troom Troom,United States,392200
Enrique Iglesias,United States,491700
Ninja,United States,33500
FaZe Rug,Canada,0
Mister Max,United Kingdom,131300
That Little Puff,United States,3000000
NickyJamTV,nan,311700
Juan De Dios Pantoja,Mexico,187400
Logan Paul,United States,43200
Maya and Mary,United States,178200
Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,United Kingdom,214400
Jelly,United Kingdom,166700
Miss Katy,United Kingdom,238500
Tilak,India,1500000
Valentina Pontes ofc,Brazil,113100
Sesame Street,United States,496700
Happy Lives,United States,0
Lady Gaga,United States,572700
Akshay Nagwadiya,nan,1300000
Wave Music Bhojpuri,India,210700
GMM GRAMMY OFFICIAL,Thailand,520900
TED,United States,53000
unknown boy varun,India,1200000
Kids TV - Nursery Rhymes And Baby Songs,United States,513800
Tsuriki Show,Germany,3000000
Technical Guruji,India,89000
DrossRotzank,Argentina,142200
White Hill Music,India,372700
Ultra Movie Parlour,India,0
Alan Becker,United States,0
toyorbabytv,Jordan,676200
BabyBus - Canciones Infantiles & Videos para Niï¿½ï,Mexico,547300
KL BRO Biju Rithvik,nan,8100000
Vania Mania Kids,United States,620900
Like Nastya PRT,nan,386500
Sun TV,India,3900000
Heroindori,India,1600000
The Chainsmokers,United States,326600
mmoshaya,Saudi Arabia,295300
Sia,United States,381000
LeoNata Family,United States,4700000
Goldmines Cineplex,India,195000
Vlad and Niki Arabic,United States,260300
SSundee,United States,700400
Paulo Londra,Argentina,289000
Smile Family,France,3
FGTeeV,United States,528400
Kinder Spielzeug Kanal (Kidibli),United States,557300
Charlie Puth,United States,446000
Vlad and Niki ESP,United States,735500
Sagawa /ï¿½ï¿½ï¿½,Japan,2800000
Ben Azelart,United States,739800
Zach Choi ASMR,United States,936900
Topper Guild,United States,2700000
Disney Latinoamï¿½ï¿½,Mexico,19
Stokes Twins,United States,791800
National Geographic,United States,183200
Dua Lipa,United Kingdom,512200
OneDirectionVEVO,United Kingdom,204500
Rotana,nan,42
Netflix India,nan,0
